"path" "abrev"
"1" "Root/1_eml-access/1_schema/6_complexType:AccessRule" "AccessRule"
"2" "Root/2_eml-attribute/1_schema/11_complexType:Accuracy" "Accuracy"
"23" "Root/9_eml-literature/1_schema/10_complexType:Article" "Article"
"31" "Root/9_eml-literature/1_schema/18_complexType:AudioVisual" "AudioVisual"
"49" "Root/17_eml-spatialRaster/1_schema/11_complexType:BandType" "BandType"
"24" "Root/9_eml-literature/1_schema/11_complexType:Book" "Book"
"6" "Root/2_eml-attribute/1_schema/17_complexType:DateTimeDomainType/2_choice/1_sequence/1_group:BoundsDateGroup" "BoundsDateGroup (1)"
"8" "Root/2_eml-attribute/1_schema/19_group:BoundsDateGroup" "BoundsDateGroup (2)"
"5" "Root/2_eml-attribute/1_schema/16_complexType:NumericDomainType/2_choice/1_sequence/2_group:BoundsGroup" "BoundsGroup (1)"
"7" "Root/2_eml-attribute/1_schema/18_group:BoundsGroup" "BoundsGroup (2)"
"25" "Root/9_eml-literature/1_schema/12_complexType:Chapter" "Chapter"
"26" "Root/9_eml-literature/1_schema/13_complexType:ConferenceProceedings" "ConferenceProceedings"
"9" "Root/3_eml-constraint/1_schema/4_complexType:ConstraintType/2_choice/1_element:primaryKey/2_complexType/1_sequence/1_group:ConstraintBaseGroup" "ConstraintBaseGroup (1)"
"10" "Root/3_eml-constraint/1_schema/4_complexType:ConstraintType/2_choice/2_element:uniqueKey/2_complexType/1_sequence/1_group:ConstraintBaseGroup" "ConstraintBaseGroup (2)"
"11" "Root/3_eml-constraint/1_schema/4_complexType:ConstraintType/2_choice/3_element:checkConstraint/2_complexType/1_sequence/1_group:ConstraintBaseGroup" "ConstraintBaseGroup (3)"
"14" "Root/3_eml-constraint/1_schema/4_complexType:ConstraintType/2_choice/6_element:notNullConstraint/2_complexType/1_sequence/1_group:ConstraintBaseGroup" "ConstraintBaseGroup (4)"
"15" "Root/3_eml-constraint/1_schema/6_group:ConstraintBaseGroup" "ConstraintBaseGroup (5)"
"16" "Root/3_eml-constraint/1_schema/7_group:ForeignKeyGroup/1_sequence/1_group:ConstraintBaseGroup" "ConstraintBaseGroup (6)"
"50" "Root/17_eml-spatialRaster/1_schema/16_complexType:DataQuality" "DataQuality (1)"
"53" "Root/19_eml-spatialVector/1_schema/12_complexType:DataQuality" "DataQuality (2)"
"21" "Root/8_eml-entity/1_schema/11_complexType:OtherEntityType/1_choice/1_sequence/1_group:EntityGroup" "EntityGroup (1)"
"22" "Root/8_eml-entity/1_schema/12_group:EntityGroup" "EntityGroup (2)"
"12" "Root/3_eml-constraint/1_schema/4_complexType:ConstraintType/2_choice/4_element:foreignKey/2_complexType/1_group:ForeignKeyGroup" "ForeignKeyGroup (1)"
"13" "Root/3_eml-constraint/1_schema/4_complexType:ConstraintType/2_choice/5_element:joinCondition/2_complexType/1_sequence/1_group:ForeignKeyGroup" "ForeignKeyGroup (2)"
"32" "Root/9_eml-literature/1_schema/19_complexType:Generic" "Generic"
"51" "Root/18_eml-spatialReference/1_schema/5_complexType:geogCoordSysType" "geogCoordSysType"
"18" "Root/4_eml-coverage/1_schema/11_complexType:GRingPointType" "GRingPointType"
"52" "Root/18_eml-spatialReference/1_schema/6_complexType:horizCoordSysType" "horizCoordSysType"
"48" "Root/15_eml-resource/1_schema/26_complexType:i18nNonEmptyStringType" "i18nNonEmptyStringType"
"60" "Root/21_eml-text/1_schema/10_complexType:i18nString" "i18nString"
"43" "Root/15_eml-resource/1_schema/18_complexType:InlineType" "InlineType"
"58" "Root/21_eml-text/1_schema/8_complexType:ListType" "ListType"
"20" "Root/5_eml-dataset/1_schema/18_complexType:MaintenanceType" "MaintenanceType"
"27" "Root/9_eml-literature/1_schema/14_complexType:Manuscript" "Manuscript"
"30" "Root/9_eml-literature/1_schema/17_complexType:Map" "Map"
"35" "Root/10_eml-methods/1_schema/12_complexType:MethodsType" "MethodsType"
"44" "Root/15_eml-resource/1_schema/19_complexType:OfflineType" "OfflineType"
"45" "Root/15_eml-resource/1_schema/20_complexType:OnlineType" "OnlineType"
"56" "Root/21_eml-text/1_schema/6_complexType:ParagraphType" "ParagraphType"
"54" "Root/20_eml-storedProcedure/1_schema/12_complexType:ParameterType" "ParameterType"
"37" "Root/11_eml-party/1_schema/5_complexType:Person" "Person"
"29" "Root/9_eml-literature/1_schema/16_complexType:PersonalCommunication" "PersonalCommunication"
"38" "Root/12_eml-physical/1_schema/11_complexType:PhysicalOnlineType" "PhysicalOnlineType"
"4" "Root/2_eml-attribute/1_schema/14_complexType:PrecisionType" "PrecisionType"
"34" "Root/9_eml-literature/1_schema/21_complexType:Presentation" "Presentation"
"36" "Root/10_eml-methods/1_schema/13_complexType:ProcedureStepType" "ProcedureStepType"
"40" "Root/15_eml-resource/1_schema/8_group:ReferencesGroup" "ReferencesGroup (1)"
"41" "Root/15_eml-resource/1_schema/15_complexType:DistributionType/2_choice/2_group:ReferencesGroup" "ReferencesGroup (2)"
"42" "Root/15_eml-resource/1_schema/16_complexType:ConnectionDefinitionType/2_choice/2_group:ReferencesGroup" "ReferencesGroup (3)"
"47" "Root/15_eml-resource/1_schema/24_complexType:ConnectionType/2_choice/2_group:ReferencesGroup" "ReferencesGroup (4)"
"28" "Root/9_eml-literature/1_schema/15_complexType:Report" "Report"
"39" "Root/15_eml-resource/1_schema/7_group:ResourceGroup" "ResourceGroup"
"57" "Root/21_eml-text/1_schema/7_complexType:SectionType" "SectionType"
"17" "Root/4_eml-coverage/1_schema/9_complexType:SingleDateTimeType" "SingleDateTimeType"
"59" "Root/21_eml-text/1_schema/9_complexType:SubSuperScriptType" "SubSuperScriptType"
"19" "Root/4_eml-coverage/1_schema/14_complexType:TaxonomicClassificationType" "TaxonomicClassificationType"
"55" "Root/21_eml-text/1_schema/5_complexType:TextType" "TextType"
"33" "Root/9_eml-literature/1_schema/20_complexType:Thesis" "Thesis"
"3" "Root/2_eml-attribute/1_schema/13_complexType:UnitType" "UnitType"
"46" "Root/15_eml-resource/1_schema/22_complexType:UrlType" "UrlType"
